"Country","iso3","Year","control","Progress","Aspirational","Business as usual","p_change","a_change","aroc","model","wb2021","location","ref","asp","reach_base","refwsalt","aspwsalt","reach_75","reach_975","aroc2","p_change2","a_change2","ideal"
"Chad","TCD",2019,0.109485144975888,0.109485144975888,0.109485144975888,0.109485144975888,0,0,0,"9","LIC","Chad",0,0,Inf,2041,2034,2043,2035,0,0,0,0
"Chile","CHL",2017,0.324919529035011,0.324919529035011,0.324919529035011,0.324919529035011,0,0,0,"2","HIC","Chile",0,0,Inf,2031,2026,2034,2027,0,0,0,0
"Chile","CHL",2018,0.333595508986982,0.333595508986982,0.333595508986982,0.333595508986982,0,0,0,"2","HIC","Chile",0,0,Inf,2031,2026,2034,2027,0,0,0,0
"Chile","CHL",2019,0.342438359470089,0.342438359470089,0.342438359470089,0.342438359470089,0,0,0,"2","HIC","Chile",0,0,Inf,2031,2026,2034,2027,0,0,0,0
"China","CHN",2017,0.151812921323153,0.151812921323153,0.151812921323153,0.151812921323153,0,0,0,"9","UMIC","China",0,0,Inf,2037,2031,2041,2032,0,0,0,0
"China","CHN",2018,0.155015479005371,0.155015479005371,0.155015479005371,0.155015479005371,0,0,0,"9","UMIC","China",0,0,Inf,2037,2031,2041,2032,0,0,0,0
"China","CHN",2019,0.158568250230391,0.158568250230391,0.158568250230391,0.158568250230391,0,0,0,"9","UMIC","China",0,0,Inf,2037,2031,2041,2032,0,0,0,0
"Colombia","COL",2017,0.295647223318485,0.295647223318485,0.295647223318485,0.295647223318485,0,0,0,"2","UMIC","Colombia",0,0,Inf,2032,2027,2035,2027,0,0,0,0
"Colombia","COL",2018,0.310047555775888,0.310047555775888,0.310047555775888,0.310047555775888,0,0,0,"2","UMIC","Colombia",0,0,Inf,2032,2027,2035,2027,0,0,0,0
"Colombia","COL",2019,0.324843485360304,0.324843485360304,0.324843485360304,0.324843485360304,0,0,0,"2","UMIC","Colombia",0,0,Inf,2032,2027,2035,2027,0,0,0,0
"Comoros","COM",2017,0.093119180031486,0.093119180031486,0.093119180031486,0.093119180031486,0,0,0,"6","LMIC","Comoros",0,0,Inf,2041,2034,2043,2035,0,0,0,0
"Comoros","COM",2018,0.101894268763644,0.101894268763644,0.101894268763644,0.101894268763644,0,0,0,"6","LMIC","Comoros",0,0,Inf,2041,2034,2043,2035,0,0,0,0
"Comoros","COM",2019,0.111466072233306,0.111466072233306,0.111466072233306,0.111466072233306,0,0,0,"6","LMIC","Comoros",0,0,Inf,2041,2034,2043,2035,0,0,0,0
"Congo","COG",2017,0.0803714467385319,0.0803714467385319,0.0803714467385319,0.0803714467385319,0,0,0,"9","LMIC","Congo",0,0,Inf,2041,2035,2044,2036,0,0,0,0
"Congo","COG",2018,0.0868897385301361,0.0868897385301361,0.0868897385301361,0.0868897385301361,0,0,0,"9","LMIC","Congo",0,0,Inf,2041,2035,2044,2036,0,0,0,0
"Congo","COG",2019,0.0940533658168595,0.0940533658168595,0.0940533658168595,0.0940533658168595,0,0,0,"9","LMIC","Congo",0,0,Inf,2041,2035,2044,2036,0,0,0,0
"Costa Rica","CRI",2017,0.459058575045519,0.459058575045519,0.459058575045519,0.459058575045519,0,0,0,"1","UMIC","Costa Rica",0,0,2026,2025,2023,2026,2023,0,0,0,0
"Costa Rica","CRI",2018,0.477084012039462,0.477084012039462,0.477084012039462,0.477084012039462,0,0,0,"1","UMIC","Costa Rica",0,0,2026,2025,2023,2026,2023,0,0,0,0
"Costa Rica","CRI",2019,0.494888351768077,0.494888351768077,0.494888351768077,0.494888351768077,0,0,0,"1","UMIC","Costa Rica",0,0,2026,2025,2023,2026,2023,0,0,0,0
"Cote d'Ivoire","CIV",2017,0.0734922141945178,0.0734922141945178,0.0734922141945178,0.0734922141945178,0,0,0,"9","LMIC","Cote d'Ivoire",0,0,Inf,2041,2035,2044,2036,0,0,0,0
"Cote d'Ivoire","CIV",2018,0.0800411329875982,0.0800411329875982,0.0800411329875982,0.0800411329875982,0,0,0,"9","LMIC","Cote d'Ivoire",0,0,Inf,2041,2035,2044,2036,0,0,0,0
"Cote d'Ivoire","CIV",2019,0.087163891257979,0.087163891257979,0.087163891257979,0.087163891257979,0,0,0,"9","LMIC","Cote d'Ivoire",0,0,Inf,2041,2035,2044,2036,0,0,0,0
"Croatia","HRV",2017,0.185481338296839,0.185481338296839,0.185481338296839,0.185481338296839,0,0,0,"7","HIC","Croatia",0,0,Inf,2035,2030,2039,2031,0,0,0,0
"Croatia","HRV",2018,0.190866844506389,0.190866844506389,0.190866844506389,0.190866844506389,0,0,0,"7","HIC","Croatia",0,0,Inf,2035,2030,2039,2031,0,0,0,0
"Croatia","HRV",2019,0.196625763481094,0.196625763481094,0.196625763481094,0.196625763481094,0,0,0,"7","HIC","Croatia",0,0,Inf,2035,2030,2039,2031,0,0,0,0
"Cuba","CUB",2017,0.323134043725539,0.323134043725539,0.323134043725539,0.323134043725539,0,0,0,"3","UMIC","Cuba",0,0,Inf,2033,2027,2035,2027,0,0,0,0
"Cuba","CUB",2018,0.325409221116393,0.325409221116393,0.325409221116393,0.325409221116393,0,0,0,"3","UMIC","Cuba",0,0,Inf,2033,2027,2035,2027,0,0,0,0
"Cuba","CUB",2019,0.328016734463046,0.328016734463046,0.328016734463046,0.328016734463046,0,0,0,"3","UMIC","Cuba",0,0,Inf,2033,2027,2035,2027,0,0,0,0
"Cyprus","CYP",2017,0.326189892575922,0.326189892575922,0.326189892575922,0.326189892575922,0,0,0,"3","HIC","Cyprus",0,0,Inf,2032,2026,2034,2027,0,0,0,0
"Cyprus","CYP",2018,0.332147656193098,0.332147656193098,0.332147656193098,0.332147656193098,0,0,0,"3","HIC","Cyprus",0,0,Inf,2032,2026,2034,2027,0,0,0,0
"Cyprus","CYP",2019,0.338252504974687,0.338252504974687,0.338252504974687,0.338252504974687,0,0,0,"3","HIC","Cyprus",0,0,Inf,2032,2026,2034,2027,0,0,0,0
"Czech Republic","CZE",2017,0.347488159745582,0.347488159745582,0.347488159745582,0.347488159745582,0,0,0,"2","HIC","Czech Republic",0,0,Inf,2030,2026,2033,2026,0,0,0,0
"Czech Republic","CZE",2018,0.356343186639851,0.356343186639851,0.356343186639851,0.356343186639851,0,0,0,"2","HIC","Czech Republic",0,0,Inf,2030,2026,2033,2026,0,0,0,0
"Czech Republic","CZE",2019,0.365357347837484,0.365357347837484,0.365357347837484,0.365357347837484,0,0,0,"2","HIC","Czech Republic",0,0,Inf,2030,2026,2033,2026,0,0,0,0
"Denmark","DNK",2017,0.0924365340584681,0.0924365340584681,0.0924365340584681,0.0924365340584681,0,0,0,"9","HIC","Denmark",0,0,Inf,2041,2035,2044,2035,0,0,0,0
"Denmark","DNK",2018,0.0936406836088168,0.0936406836088168,0.0936406836088168,0.0936406836088168,0,0,0,"9","HIC","Denmark",0,0,Inf,2041,2035,2044,2035,0,0,0,0
"Denmark","DNK",2019,0.0951552602696111,0.0951552602696111,0.0951552602696111,0.0951552602696111,0,0,0,"9","HIC","Denmark",0,0,Inf,2041,2035,2044,2035,0,0,0,0
"Djibouti","DJI",2017,0.0944773112706647,0.0944773112706647,0.0944773112706647,0.0944773112706647,0,0,0,"8","LMIC","Djibouti",0,0,Inf,2041,2034,2043,2035,0,0,0,0
"Djibouti","DJI",2018,0.102881466127814,0.102881466127814,0.102881466127814,0.102881466127814,0,0,0,"8","LMIC","Djibouti",0,0,Inf,2041,2034,2043,2035,0,0,0,0
"Djibouti","DJI",2019,0.112024224175921,0.112024224175921,0.112024224175921,0.112024224175921,0,0,0,"8","LMIC","Djibouti",0,0,Inf,2041,2034,2043,2035,0,0,0,0
"Dominican Republic","DOM",2017,0.208826651932695,0.208826651932695,0.208826651932695,0.208826651932695,0,0,0,"6","UMIC","Dominican Republic",0,0,Inf,2037,2030,2039,2030,0,0,0,0
"Dominican Republic","DOM",2018,0.21165300105501,0.21165300105501,0.21165300105501,0.21165300105501,0,0,0,"6","UMIC","Dominican Republic",0,0,Inf,2037,2030,2039,2030,0,0,0,0
"Dominican Republic","DOM",2019,0.214873524886208,0.214873524886208,0.214873524886208,0.214873524886208,0,0,0,"6","UMIC","Dominican Republic",0,0,Inf,2037,2030,2039,2030,0,0,0,0
"DR Congo","COD",2017,0.100194449147507,0.100194449147507,0.100194449147507,0.100194449147507,0,0,0,"9","LIC","Democratic Republic of the Congo",0,0,Inf,2042,2034,2043,2034,0,0,0,0
